ward,week_num,week_label,week_start_date,total_evictions
Ward 7,1,Week 1,2024-01-01,2
Ward 8,1,Week 1,2024-01-01,7
Ward 5,1,Week 1,2024-01-01,4
Ward 1,1,Week 1,2024-01-01,7
Ward 6,1,Week 1,2024-01-01,4
Ward 4,1,Week 1,2024-01-01,2
Ward 2,1,Week 1,2024-01-01,4
Ward 3,1,Week 1,2024-01-01,0
Ward 7,2,Week 2,2024-01-08,16
Ward 8,2,Week 2,2024-01-08,5
Ward 5,2,Week 2,2024-01-08,8
Ward 1,2,Week 2,2024-01-08,0
Ward 6,2,Week 2,2024-01-08,2
Ward 4,2,Week 2,2024-01-08,1
Ward 2,2,Week 2,2024-01-08,0
Ward 3,2,Week 2,2024-01-08,1
Ward 7,3,Week 3,2024-01-15,3
Ward 8,3,Week 3,2024-01-15,13
Ward 5,3,Week 3,2024-01-15,0
Ward 1,3,Week 3,2024-01-15,0
Ward 6,3,Week 3,2024-01-15,5
Ward 4,3,Week 3,2024-01-15,0
Ward 2,3,Week 3,2024-01-15,0
Ward 3,3,Week 3,2024-01-15,0
Ward 7,4,Week 4,2024-01-22,5
Ward 8,4,Week 4,2024-01-22,7
Ward 5,4,Week 4,2024-01-22,0
Ward 1,4,Week 4,2024-01-22,0
Ward 6,4,Week 4,2024-01-22,0
Ward 4,4,Week 4,2024-01-22,0
Ward 2,4,Week 4,2024-01-22,0
Ward 3,4,Week 4,2024-01-22,0
Ward 7,5,Week 5,2024-01-29,0
Ward 8,5,Week 5,2024-01-29,0
Ward 5,5,Week 5,2024-01-29,0
Ward 1,5,Week 5,2024-01-29,0
Ward 6,5,Week 5,2024-01-29,0
Ward 4,5,Week 5,2024-01-29,0
Ward 2,5,Week 5,2024-01-29,0
Ward 3,5,Week 5,2024-01-29,0
Ward 7,6,Week 6,2024-02-05,4
Ward 8,6,Week 6,2024-02-05,12
Ward 5,6,Week 6,2024-02-05,0
Ward 1,6,Week 6,2024-02-05,0
Ward 6,6,Week 6,2024-02-05,6
Ward 4,6,Week 6,2024-02-05,0
Ward 2,6,Week 6,2024-02-05,0
