month_name,ward,total_evictions
January,Ward 3,1
January,Ward 4,1
January,Ward 5,8
January,Ward 6,7
January,Ward 7,24
January,Ward 8,25
February,Ward 1,14
February,Ward 2,7
February,Ward 3,10
February,Ward 4,6
February,Ward 5,43
February,Ward 6,53
February,Ward 7,48
February,Ward 8,95
March,Ward 1,37
March,Ward 2,13
March,Ward 3,12
March,Ward 4,10
March,Ward 5,42
March,Ward 6,52
March,Ward 7,68
March,Ward 8,77
April,Ward 1,23
April,Ward 2,31
April,Ward 3,11
April,Ward 4,18
April,Ward 5,52
April,Ward 6,57
April,Ward 7,69
April,Ward 8,96
May,Ward 1,22
May,Ward 2,24
May,Ward 3,11
May,Ward 4,17
May,Ward 5,39
May,Ward 6,50
May,Ward 7,73
May,Ward 8,85
June,Ward 1,23
June,Ward 2,30
June,Ward 3,13
June,Ward 4,18
June,Ward 5,63
June,Ward 6,45
June,Ward 7,86
June,Ward 8,108
July,Ward 1,22
July,Ward 2,19
July,Ward 3,15
July,Ward 4,21
July,Ward 5,60
July,Ward 6,41
July,Ward 7,71
July,Ward 8,105
August,Ward 1,19
August,Ward 2,16
August,Ward 3,12
August,Ward 4,15
August,Ward 5,55
August,Ward 6,51
August,Ward 7,68
August,Ward 8,54
September,Ward 1,33
September,Ward 2,16
September,Ward 3,21
September,Ward 4,23
September,Ward 5,56
September,Ward 6,56
September,Ward 7,55
September,Ward 8,80
October,Ward 1,17
October,Ward 2,28
October,Ward 3,15
October,Ward 4,19
October,Ward 5,36
October,Ward 6,30
October,Ward 7,34
October,Ward 8,77
November,Ward 2,1
November,Ward 5,7
November,Ward 6,6
November,Ward 7,2
December,Ward 1,18
December,Ward 2,14
December,Ward 3,14
December,Ward 4,17
December,Ward 5,50
December,Ward 6,45
December,Ward 7,55
December,Ward 8,78
