violation_address,quadrant,zipcode,lat,long
4709 3RD PL NW,NW,20011,38.947855,-77.016326
4717 3RD PL NW,NW,20011,38.948038,-77.016334
2731 ONTARIO RD NW,NW,20009,38.925157,-77.040674
3927 7TH ST NE,NE,20017,38.939118,-76.994952
5716 2ND ST NE,NE,20011,38.958909,-77.004028
5744 2ND ST NE,NE,20011,38.959487,-77.004459
2917 NASH PL SE,SE,20019,38.875759,-76.967737
2928 NASH PL SE,SE,20019,38.87593,-76.967007
2933 NASH PL SE,SE,20019,38.875564,-76.967181
3012 NELSON PL SE,SE,20019,38.875359,-76.964091
2835 MINNESOTA AVE SE,SE,20019,38.875485,-76.966215
2514 4TH ST NE,NE,20002,38.923035,-77.000883
810 POTOMAC AVE SE,SE,20003,38.876961,-76.994469
6 FLORIDA AVE NW,NW,20001,38.910794,-77.009381
10 FLORIDA AVE NW,NW,20001,38.910829,-77.009462
1355 PEABODY ST NW,NW,20011,38.963355,-77.031999
1370 PEABODY ST NW,NW,20011,38.962947,-77.032832
1451 SHERIDAN ST NW,NW,20011,38.966333,-77.035564
1420 TUCKERMAN ST NW,NW,20011,38.967388,-77.034067
1717 S ST SE,SE,20020,38.868065,-76.980209
1313 ADAMS ST NE,NE,20018,38.919813,-76.985644
1715 P ST NW,NW,20036,38.909885,-77.039375
3224 WISCONSIN AVE NW,NW,20016,38.932984,-77.072878
2336 25TH ST SE,SE,20020,38.859799,-76.969636
3009 30TH ST SE,SE,20020,38.853071,-76.965971
3031 30TH ST SE,SE,20020,38.851952,-76.965439
46 FORRESTER ST SW,SW,20032,38.824963,-77.008078
4000 47TH ST NW,NW,20016,38.941448,-77.092895
4005 47TH ST NW,NW,20016,38.941548,-77.092347
4012 47TH ST NW,NW,20016,38.941750999999996,-77.09289
1026 44TH ST NE,NE,20019,38.903807,-76.93912
1126 48TH PL NE,NE,20019,38.90531,-76.932919
49 MISSOURI AVE NW,NW,20011,38.955742,-77.01124
137 53RD ST SE,SE,20019,38.886206,-76.926031
121 YUMA ST SE,SE,20032,38.831882,-77.005002
124 ATLANTIC ST SE,SE,20032,38.831282,-77.004601
125 YUMA ST SE,SE,20032,38.831882,-77.004705
133 YUMA ST SE,SE,20032,38.831837,-77.004209
330 63RD ST NE,NE,20019,38.89366,-76.911228
70 I ST SE,SE,20003,38.879532,-77.007031
4237 EADS ST NE,NE,20019,38.895586,-76.940703
6147 KANSAS AVE NE,NE,20011,38.965252,-77.008206
920 MADISON ST NW,NW,20011,38.95816,-77.026799
86 FORRESTER ST SW,SW,20032,38.824996,-77.009781
98 WEBSTER ST NE,NE,20011,38.944492,-77.005788
101 5TH ST NE,NE,20002,38.891086,-76.999263
105 6TH ST NE,NE,20002,38.891349,-76.998197
108 ATLANTIC ST SE,SE,20032,38.831388,-77.005296
1240 RAUM ST NE,NE,20002,38.90854,-76.984251
200 Q ST NE,NE,20002,38.911411,-77.002828
182 36TH ST NE,NE,20019,38.892408,-76.952579
201 ATLANTIC ST SE,SE,20032,38.830762,-77.003325
203 16TH ST NE,NE,20002,38.892193,-76.981814
205 16TH ST NE,NE,20002,38.892196,-76.981628
207 16TH ST NE,NE,20002,38.892336,-76.981615
1250 QUEEN ST NE,NE,20002,38.906538,-76.985507
221 20TH ST NE,NE,20002,38.892698,-76.975957
229 43RD RD NE,NE,20019,38.892898,-76.940314
226 35TH ST NE,NE,20019,38.893105,-76.953057
230 35TH ST NE,NE,20019,38.893178,-76.952985
307 DIVISION AVE NE,NE,20019,38.893915,-76.926957
